disease_name,symptom_name
Acne vulgaris,pimples
Acne vulgaris,blackheads
Acne vulgaris,whiteheads
Acne vulgaris,oily skin
Atopic dermatitis (Eczema),itching
Atopic dermatitis (Eczema),dry skin
Atopic dermatitis (Eczema),red patches
Atopic dermatitis (Eczema),flexural rash
Psoriasis vulgaris,red plaques
Psoriasis vulgaris,silvery scale
Psoriasis vulgaris,itching
Psoriasis vulgaris,elbows
Psoriasis vulgaris,knees
Seborrheic dermatitis,scalp flaking
Seborrheic dermatitis,dandruff
Seborrheic dermatitis,greasy scale
Seborrheic dermatitis,itchy scalp
Contact dermatitis (Irritant),burning
Contact dermatitis (Irritant),stinging
Contact dermatitis (Irritant),rash at contact site
Contact dermatitis (Allergic),itchy rash
Contact dermatitis (Allergic),blisters
Contact dermatitis (Allergic),delayed onset after exposure
Urticaria (Hives),raised wheals
Urticaria (Hives),itchy bumps
Urticaria (Hives),sudden onset
Chronic urticaria,recurrent wheals
Chronic urticaria,daily itching
Chronic urticaria,angioedema
Rosacea,facial redness
Rosacea,flushing
Rosacea,visible blood vessels
Acne rosacea,facial papules
Acne rosacea,pustules
Acne rosacea,redness
Vitiligo,white patches
Vitiligo,loss of pigment
Tinea corporis (Ringworm),ring-shaped rash
Tinea corporis (Ringworm),scaly edge
Tinea corporis (Ringworm),central clearing
Tinea pedis (Athlete's foot),itchy feet
Tinea pedis (Athlete's foot),scaling between toes
Tinea pedis (Athlete's foot),fissures
Tinea cruris (Jock itch),itchy groin
Tinea cruris (Jock itch),red rash
Tinea cruris (Jock itch),scaly border
Tinea capitis (Scalp ringworm),scalp scaling
Tinea capitis (Scalp ringworm),hair loss
Tinea capitis (Scalp ringworm),broken hairs
Pityriasis versicolor,discolored patches
Pityriasis versicolor,fine scale
Pityriasis versicolor,trunk involvement
Impetigo,honey-colored crusts
Impetigo,weeping sores
Folliculitis,pustules
Folliculitis,around hair follicles
Folliculitis,tender bumps
Cellulitis,redness
Cellulitis,heat
Cellulitis,swelling
Cellulitis,pain
Cellulitis,fever
Scabies,intense itching at night
Scabies,burrows
Scabies,web spaces of fingers
Herpes zoster (Shingles),band-like pain
Herpes zoster (Shingles),blisters
Herpes zoster (Shingles),dermatomal distribution
Herpes simplex (Cold sores),tingling
Herpes simplex (Cold sores),grouped vesicles
Herpes simplex (Cold sores),lip lesions
Warts (Verruca vulgaris),rough papules
Warts (Verruca vulgaris),hands
Warts (Verruca vulgaris),feet
Molluscum contagiosum,umbilicated papules
Molluscum contagiosum,smooth bumps
Lichen planus,purple papules
Lichen planus,Wickham striae
Lichen planus,wrist lesions
Photodermatitis,sun-exposed rash
Photodermatitis,burning
Photodermatitis,itching after sun
Perioral dermatitis,papules around mouth
Perioral dermatitis,spares vermilion border
Nummular eczema,coin-shaped plaques
Nummular eczema,itching
